EstadoDesc_x,number,AnoMes,Estado,EstadoDesc_y,Precipitacao,TempMaxima,TempMinima,UmidadeRelativa
Alagoas,21.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,4.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,0.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,0.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,6.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,28.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,95.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,59.0,2012-01,AL,Alagoas,1.268421052631579,30.598701298701297,21.560526315789474,85.26315789473684
Alagoas,49.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,19.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,31.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,25.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,2.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,1.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,0.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,0.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,4.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,25.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,10.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,42.0,2013-01,AL,Alagoas,1.2304347826086957,26.874468085106383,17.206521739130434,83.90322580645162
Alagoas,54.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,29.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,28.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,16.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,1.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,2.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,1.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,3.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,11.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,7.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,14.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,24.0,2014-01,AL,Alagoas,0.6844155844155844,31.346753246753245,21.166233766233766,74.02614379084967
Alagoas,81.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,46.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,32.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,63.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,18.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,2.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,0.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,3.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,7.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,40.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,162.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,136.0,2015-01,AL,Alagoas,0.13703703703703704,31.39090909090909,18.21851851851852,69.5
Alagoas,24.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,14.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,9.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,13.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,4.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,5.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,3.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,5.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,18.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,74.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,76.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,155.0,2016-01,AL,Alagoas,3.785897435897436,28.763636363636365,21.53205128205128,85.18064516129033
Alagoas,38.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,38.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,21.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,23.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,7.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,1.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,2.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,0.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,1.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,4.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,14.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Alagoas,10.0,2017-01,AL,Alagoas,6.678205128205128,27.123529411764707,21.153623188405795,84.40579710144928
Amazonas,6.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,25.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,17.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,3.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,12.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,45.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,234.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,3.011,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,2.392,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,1.238,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
Amazonas,682.0,2012-01,AM,Amazonas,8.126666666666667,32.470886075949366,23.16306818181818,87.77934272300469
