year;state;month;number;date
2015;Rio Grande do Sul;Abril;175;01/01/2015
2016;Rio Grande do Sul;Abril;32;01/01/2016
2017;Rio Grande do Sul;Abril;51;01/01/2017
1998;Rio Grande do Sul;Maio;0;01/01/1998
1999;Rio Grande do Sul;Maio;13;01/01/1999
2000;Rio Grande do Sul;Maio;4;01/01/2000
2001;Rio Grande do Sul;Maio;4;01/01/2001
2002;Rio Grande do Sul;Maio;7;01/01/2002
2003;Rio Grande do Sul;Maio;18;01/01/2003
2004;Rio Grande do Sul;Maio;4;01/01/2004
2005;Rio Grande do Sul;Maio;24;01/01/2005
2006;Rio Grande do Sul;Maio;24;01/01/2006
2007;Rio Grande do Sul;Maio;3;01/01/2007
2008;Rio Grande do Sul;Maio;20;01/01/2008
2009;Rio Grande do Sul;Maio;177;01/01/2009
2010;Rio Grande do Sul;Maio;9;01/01/2010
2011;Rio Grande do Sul;Maio;20;01/01/2011
2012;Rio Grande do Sul;Maio;112;01/01/2012
2013;Rio Grande do Sul;Maio;14;01/01/2013
2014;Rio Grande do Sul;Maio;63;01/01/2014
2015;Rio Grande do Sul;Maio;169;01/01/2015
2016;Rio Grande do Sul;Maio;37;01/01/2016
2017;Rio Grande do Sul;Maio;43;01/01/2017
1998;Rio Grande do Sul;Junho;0;01/01/1998
1999;Rio Grande do Sul;Junho;9;01/01/1999
2000;Rio Grande do Sul;Junho;0;01/01/2000
2001;Rio Grande do Sul;Junho;1;01/01/2001
2002;Rio Grande do Sul;Junho;4;01/01/2002
2003;Rio Grande do Sul;Junho;14;01/01/2003
2004;Rio Grande do Sul;Junho;52;01/01/2004
2005;Rio Grande do Sul;Junho;50;01/01/2005
2006;Rio Grande do Sul;Junho;7;01/01/2006
2007;Rio Grande do Sul;Junho;10;01/01/2007
2008;Rio Grande do Sul;Junho;16;01/01/2008
2009;Rio Grande do Sul;Junho;30;01/01/2009
2010;Rio Grande do Sul;Junho;4;01/01/2010
2011;Rio Grande do Sul;Junho;12;01/01/2011
2012;Rio Grande do Sul;Junho;86;01/01/2012
2013;Rio Grande do Sul;Junho;10;01/01/2013
2014;Rio Grande do Sul;Junho;62;01/01/2014
2015;Rio Grande do Sul;Junho;68;01/01/2015
2016;Rio Grande do Sul;Junho;261;01/01/2016
2017;Rio Grande do Sul;Junho;103;01/01/2017
1998;Rio Grande do Sul;Julho;0;01/01/1998
1999;Rio Grande do Sul;Julho;10;01/01/1999
2000;Rio Grande do Sul;Julho;6;01/01/2000
2001;Rio Grande do Sul;Julho;6;01/01/2001
2002;Rio Grande do Sul;Julho;93;01/01/2002
2003;Rio Grande do Sul;Julho;55;01/01/2003
2004;Rio Grande do Sul;Julho;156;01/01/2004
2005;Rio Grande do Sul;Julho;47;01/01/2005
2006;Rio Grande do Sul;Julho;45;01/01/2006
2007;Rio Grande do Sul;Julho;7;01/01/2007
2008;Rio Grande do Sul;Julho;25;01/01/2008
2009;Rio Grande do Sul;Julho;47;01/01/2009
2010;Rio Grande do Sul;Julho;34;01/01/2010
2011;Rio Grande do Sul;Julho;45;01/01/2011
2012;Rio Grande do Sul;Julho;134;01/01/2012
2013;Rio Grande do Sul;Julho;42;01/01/2013
2014;Rio Grande do Sul;Julho;209;01/01/2014
2015;Rio Grande do Sul;Julho;60;01/01/2015
2016;Rio Grande do Sul;Julho;865;01/01/2016
2017;Rio Grande do Sul;Julho;885;01/01/2017
1998;Rio Grande do Sul;Agosto;9;01/01/1998
1999;Rio Grande do Sul;Agosto;24;01/01/1999
2000;Rio Grande do Sul;Agosto;18;01/01/2000
2001;Rio Grande do Sul;Agosto;36;01/01/2001
2002;Rio Grande do Sul;Agosto;824;01/01/2002
2003;Rio Grande do Sul;Agosto;1.419;01/01/2003
2004;Rio Grande do Sul;Agosto;403;01/01/2004
2005;Rio Grande do Sul;Agosto;120;01/01/2005
2006;Rio Grande do Sul;Agosto;642;01/01/2006
2007;Rio Grande do Sul;Agosto;258;01/01/2007
2008;Rio Grande do Sul;Agosto;56;01/01/2008
2009;Rio Grande do Sul;Agosto;1.057;01/01/2009
2010;Rio Grande do Sul;Agosto;267;01/01/2010
2011;Rio Grande do Sul;Agosto;116;01/01/2011
2012;Rio Grande do Sul;Agosto;410;01/01/2012
2013;Rio Grande do Sul;Agosto;156;01/01/2013
2014;Rio Grande do Sul;Agosto;1.168;01/01/2014
2015;Rio Grande do Sul;Agosto;414;01/01/2015
2016;Rio Grande do Sul;Agosto;1.111;01/01/2016
2017;Rio Grande do Sul;Agosto;819;01/01/2017
1998;Rio Grande do Sul;Setembro;60;01/01/1998
1999;Rio Grande do Sul;Setembro;19;01/01/1999
2000;Rio Grande do Sul;Setembro;27;01/01/2000
2001;Rio Grande do Sul;Setembro;2;01/01/2001
2002;Rio Grande do Sul;Setembro;226;01/01/2002
2003;Rio Grande do Sul;Setembro;828;01/01/2003
2004;Rio Grande do Sul;Setembro;431;01/01/2004
2005;Rio Grande do Sul;Setembro;189;01/01/2005
2006;Rio Grande do Sul;Setembro;444;01/01/2006
2007;Rio Grande do Sul;Setembro;573;01/01/2007
2008;Rio Grande do Sul;Setembro;97;01/01/2008
2009;Rio Grande do Sul;Setembro;39;01/01/2009
2010;Rio Grande do Sul;Setembro;250;01/01/2010
2011;Rio Grande do Sul;Setembro;449;01/01/2011
2012;Rio Grande do Sul;Setembro;113;01/01/2012
2013;Rio Grande do Sul;Setembro;290;01/01/2013
2014;Rio Grande do Sul;Setembro;224;01/01/2014
2015;Rio Grande do Sul;Setembro;222;01/01/2015
2016;Rio Grande do Sul;Setembro;628;01/01/2016
2017;Rio Grande do Sul;Setembro;343;01/01/2017
1998;Rio Grande do Sul;Outubro;169;01/01/1998
1999;Rio Grande do Sul;Outubro;56;01/01/1999
2000;Rio Grande do Sul;Outubro;10;01/01/2000
2001;Rio Grande do Sul;Outubro;13;01/01/2001
2002;Rio Grande do Sul;Outubro;10;01/01/2002
2003;Rio Grande do Sul;Outubro;360;01/01/2003
2004;Rio Grande do Sul;Outubro;680;01/01/2004
2005;Rio Grande do Sul;Outubro;83;01/01/2005
2006;Rio Grande do Sul;Outubro;160;01/01/2006
2007;Rio Grande do Sul;Outubro;21;01/01/2007
2008;Rio Grande do Sul;Outubro;135;01/01/2008
2009;Rio Grande do Sul;Outubro;148;01/01/2009
2010;Rio Grande do Sul;Outubro;95;01/01/2010
2011;Rio Grande do Sul;Outubro;74;01/01/2011
2012;Rio Grande do Sul;Outubro;91;01/01/2012
2013;Rio Grande do Sul;Outubro;104;01/01/2013
2014;Rio Grande do Sul;Outubro;110;01/01/2014
2015;Rio Grande do Sul;Outubro;70;01/01/2015
2016;Rio Grande do Sul;Outubro;93;01/01/2016
2017;Rio Grande do Sul;Outubro;101;01/01/2017
1998;Rio Grande do Sul;Novembro;28;01/01/1998
1999;Rio Grande do Sul;Novembro;103;01/01/1999
2000;Rio Grande do Sul;Novembro;18;01/01/2000
2001;Rio Grande do Sul;Novembro;49;01/01/2001
2002;Rio Grande do Sul;Novembro;117;01/01/2002
2003;Rio Grande do Sul;Novembro;121;01/01/2003
2004;Rio Grande do Sul;Novembro;161;01/01/2004
2005;Rio Grande do Sul;Novembro;227;01/01/2005
2006;Rio Grande do Sul;Novembro;27;01/01/2006
2007;Rio Grande do Sul;Novembro;13;01/01/2007
2008;Rio Grande do Sul;Novembro;14;01/01/2008
2009;Rio Grande do Sul;Novembro;4;01/01/2009
2010;Rio Grande do Sul;Novembro;90;01/01/2010
2011;Rio Grande do Sul;Novembro;117;01/01/2011
2012;Rio Grande do Sul;Novembro;74;01/01/2012
2013;Rio Grande do Sul;Novembro;110;01/01/2013
2014;Rio Grande do Sul;Novembro;68;01/01/2014
2015;Rio Grande do Sul;Novembro;30;01/01/2015
2016;Rio Grande do Sul;Novembro;105;01/01/2016
2017;Rio Grande do Sul;Novembro;137;01/01/2017
1998;Rio Grande do Sul;Dezembro;605;01/01/1998
1999;Rio Grande do Sul;Dezembro;1.11;01/01/1999
2000;Rio Grande do Sul;Dezembro;80;01/01/2000
2001;Rio Grande do Sul;Dezembro;80;01/01/2001
2002;Rio Grande do Sul;Dezembro;45;01/01/2002
2003;Rio Grande do Sul;Dezembro;98;01/01/2003
2004;Rio Grande do Sul;Dezembro;99;01/01/2004
2005;Rio Grande do Sul;Dezembro;35;01/01/2005
2006;Rio Grande do Sul;Dezembro;15;01/01/2006
2007;Rio Grande do Sul;Dezembro;25;01/01/2007
2008;Rio Grande do Sul;Dezembro;32;01/01/2008
2009;Rio Grande do Sul;Dezembro;15;01/01/2009
2010;Rio Grande do Sul;Dezembro;103;01/01/2010
2011;Rio Grande do Sul;Dezembro;69;01/01/2011
2012;Rio Grande do Sul;Dezembro;38;01/01/2012
2013;Rio Grande do Sul;Dezembro;62;01/01/2013
2014;Rio Grande do Sul;Dezembro;31;01/01/2014
2015;Rio Grande do Sul;Dezembro;42;01/01/2015
2016;Rio Grande do Sul;Dezembro;79;01/01/2016
1998;Rondonia;Janeiro;0;01/01/1998
1999;Rondonia;Janeiro;1;01/01/1999
2000;Rondonia;Janeiro;0;01/01/2000
2001;Rondonia;Janeiro;0;01/01/2001
2002;Rondonia;Janeiro;6;01/01/2002
2003;Rondonia;Janeiro;62;01/01/2003
2004;Rondonia;Janeiro;30;01/01/2004
2005;Rondonia;Janeiro;99;01/01/2005
2006;Rondonia;Janeiro;16;01/01/2006
2007;Rondonia;Janeiro;33;01/01/2007
2008;Rondonia;Janeiro;4;01/01/2008
2009;Rondonia;Janeiro;17;01/01/2009
2010;Rondonia;Janeiro;18;01/01/2010
2011;Rondonia;Janeiro;1;01/01/2011
2012;Rondonia;Janeiro;2;01/01/2012
2013;Rondonia;Janeiro;7;01/01/2013
2014;Rondonia;Janeiro;12;01/01/2014
2015;Rondonia;Janeiro;30;01/01/2015
2016;Rondonia;Janeiro;93;01/01/2016
2017;Rondonia;Janeiro;44;01/01/2017
1998;Rondonia;Fevereiro;0;01/01/1998
1999;Rondonia;Fevereiro;1;01/01/1999
2000;Rondonia;Fevereiro;6;01/01/2000
2001;Rondonia;Fevereiro;2;01/01/2001
2002;Rondonia;Fevereiro;8;01/01/2002
2003;Rondonia;Fevereiro;10;01/01/2003
2004;Rondonia;Fevereiro;12;01/01/2004
2005;Rondonia;Fevereiro;42;01/01/2005
2006;Rondonia;Fevereiro;17;01/01/2006
2007;Rondonia;Fevereiro;8;01/01/2007
2008;Rondonia;Fevereiro;7;01/01/2008
2009;Rondonia;Fevereiro;1;01/01/2009
2010;Rondonia;Fevereiro;9;01/01/2010
2011;Rondonia;Fevereiro;2;01/01/2011
2012;Rondonia;Fevereiro;9;01/01/2012
2013;Rondonia;Fevereiro;8;01/01/2013
2014;Rondonia;Fevereiro;5;01/01/2014
2015;Rondonia;Fevereiro;22;01/01/2015
2016;Rondonia;Fevereiro;88;01/01/2016
2017;Rondonia;Fevereiro;10;01/01/2017
1998;Rondonia;Março;0;01/01/1998
1999;Rondonia;Março;8;01/01/1999
2000;Rondonia;Março;9;01/01/2000
2001;Rondonia;Março;0;01/01/2001
2002;Rondonia;Março;1;01/01/2002
2003;Rondonia;Março;13;01/01/2003
2004;Rondonia;Março;20;01/01/2004
2005;Rondonia;Março;17;01/01/2005
2006;Rondonia;Março;15;01/01/2006
2007;Rondonia;Março;20;01/01/2007
2008;Rondonia;Março;2;01/01/2008
2009;Rondonia;Março;12;01/01/2009
2010;Rondonia;Março;11;01/01/2010
2011;Rondonia;Março;6;01/01/2011
2012;Rondonia;Março;6;01/01/2012
2013;Rondonia;Março;23;01/01/2013
2014;Rondonia;Março;13;01/01/2014
2015;Rondonia;Março;15;01/01/2015
2016;Rondonia;Março;25;01/01/2016
2017;Rondonia;Março;21;01/01/2017
1998;Rondonia;Abril;0;01/01/1998
1999;Rondonia;Abril;3;01/01/1999
2000;Rondonia;Abril;0;01/01/2000
2001;Rondonia;Abril;0;01/01/2001
2002;Rondonia;Abril;3;01/01/2002
2003;Rondonia;Abril;10;01/01/2003
2004;Rondonia;Abril;14;01/01/2004
2005;Rondonia;Abril;7;01/01/2005
2006;Rondonia;Abril;0;01/01/2006
2007;Rondonia;Abril;0;01/01/2007
2008;Rondonia;Abril;8;01/01/2008
2009;Rondonia;Abril;3;01/01/2009
2010;Rondonia;Abril;19;01/01/2010
2011;Rondonia;Abril;8;01/01/2011
2012;Rondonia;Abril;12;01/01/2012
2013;Rondonia;Abril;9;01/01/2013
2014;Rondonia;Abril;15;01/01/2014
2015;Rondonia;Abril;15;01/01/2015
2016;Rondonia;Abril;59;01/01/2016
2017;Rondonia;Abril;19;01/01/2017
1998;Rondonia;Maio;0;01/01/1998
1999;Rondonia;Maio;3;01/01/1999
2000;Rondonia;Maio;13;01/01/2000
2001;Rondonia;Maio;5;01/01/2001
2002;Rondonia;Maio;10;01/01/2002
2003;Rondonia;Maio;21;01/01/2003
2004;Rondonia;Maio;9;01/01/2004
2005;Rondonia;Maio;38;01/01/2005
2006;Rondonia;Maio;7;01/01/2006
2007;Rondonia;Maio;4;01/01/2007
2008;Rondonia;Maio;1;01/01/2008
2009;Rondonia;Maio;6;01/01/2009
2010;Rondonia;Maio;41;01/01/2010
2011;Rondonia;Maio;54;01/01/2011
2012;Rondonia;Maio;22;01/01/2012
2013;Rondonia;Maio;9;01/01/2013
2014;Rondonia;Maio;28;01/01/2014
2015;Rondonia;Maio;13;01/01/2015
2016;Rondonia;Maio;44;01/01/2016
2017;Rondonia;Maio;31;01/01/2017
1998;Rondonia;Junho;26;01/01/1998
1999;Rondonia;Junho;10;01/01/1999
2000;Rondonia;Junho;54;01/01/2000
2001;Rondonia;Junho;31;01/01/2001
2002;Rondonia;Junho;141;01/01/2002
2003;Rondonia;Junho;74;01/01/2003
2004;Rondonia;Junho;151;01/01/2004
2005;Rondonia;Junho;153;01/01/2005
2006;Rondonia;Junho;40;01/01/2006
2007;Rondonia;Junho;71;01/01/2007
2008;Rondonia;Junho;11;01/01/2008
2009;Rondonia;Junho;13;01/01/2009
2010;Rondonia;Junho;44;01/01/2010
2011;Rondonia;Junho;130;01/01/2011
2012;Rondonia;Junho;32;01/01/2012
2013;Rondonia;Junho;22;01/01/2013
2014;Rondonia;Junho;92;01/01/2014
2015;Rondonia;Junho;119;01/01/2015
2016;Rondonia;Junho;170;01/01/2016
2017;Rondonia;Junho;192;01/01/2017
1998;Rondonia;Julho;365;01/01/1998
1999;Rondonia;Julho;135;01/01/1999
2000;Rondonia;Julho;117;01/01/2000
2001;Rondonia;Julho;74;01/01/2001
2002;Rondonia;Julho;539;01/01/2002
2003;Rondonia;Julho;516;01/01/2003
2004;Rondonia;Julho;1.233;01/01/2004
2005;Rondonia;Julho;798;01/01/2005
2006;Rondonia;Julho;314;01/01/2006
2007;Rondonia;Julho;187;01/01/2007
2008;Rondonia;Julho;138;01/01/2008
2009;Rondonia;Julho;110;01/01/2009
2010;Rondonia;Julho;747;01/01/2010
2011;Rondonia;Julho;293;01/01/2011
2012;Rondonia;Julho;205;01/01/2012
2013;Rondonia;Julho;117;01/01/2013
2014;Rondonia;Julho;192;01/01/2014
2015;Rondonia;Julho;423;01/01/2015
2016;Rondonia;Julho;969;01/01/2016
2017;Rondonia;Julho;1.28;01/01/2017
1998;Rondonia;Agosto;2.254;01/01/1998
1999;Rondonia;Agosto;1.976;01/01/1999
2000;Rondonia;Agosto;2.197;01/01/2000
2001;Rondonia;Agosto;2.132;01/01/2001
2002;Rondonia;Agosto;3.465;01/01/2002
2003;Rondonia;Agosto;7.06;01/01/2003
2004;Rondonia;Agosto;6.893;01/01/2004
2005;Rondonia;Agosto;6.672;01/01/2005
2006;Rondonia;Agosto;3.124;01/01/2006
2007;Rondonia;Agosto;4.786;01/01/2007
2008;Rondonia;Agosto;1.251;01/01/2008
2009;Rondonia;Agosto;484;01/01/2009
2010;Rondonia;Agosto;4.388;01/01/2010
2011;Rondonia;Agosto;1.161;01/01/2011
2012;Rondonia;Agosto;2.209;01/01/2012
2013;Rondonia;Agosto;885;01/01/2013
2014;Rondonia;Agosto;3.038;01/01/2014
2015;Rondonia;Agosto;3.762;01/01/2015
2016;Rondonia;Agosto;3.675;01/01/2016
2017;Rondonia;Agosto;4.287;01/01/2017
1998;Rondonia;Setembro;3.753;01/01/1998
1999;Rondonia;Setembro;3.062;01/01/1999
2000;Rondonia;Setembro;2.438;01/01/2000
2001;Rondonia;Setembro;1.927;01/01/2001
2002;Rondonia;Setembro;7.067;01/01/2002
2003;Rondonia;Setembro;6.89;01/01/2003
2004;Rondonia;Setembro;13.05;01/01/2004
2005;Rondonia;Setembro;13.972;01/01/2005
2006;Rondonia;Setembro;9.92;01/01/2006
2007;Rondonia;Setembro;6.832;01/01/2007
2008;Rondonia;Setembro;3.726;01/01/2008
2009;Rondonia;Setembro;1.869;01/01/2009
2010;Rondonia;Setembro;4.893;01/01/2010
2011;Rondonia;Setembro;1.782;01/01/2011
2012;Rondonia;Setembro;2.471;01/01/2012
2013;Rondonia;Setembro;1.776;01/01/2013
2014;Rondonia;Setembro;2.801;01/01/2014
2015;Rondonia;Setembro;6.129;01/01/2015
2016;Rondonia;Setembro;4.208;01/01/2016
2017;Rondonia;Setembro;5.638;01/01/2017
1998;Rondonia;Outubro;483;01/01/1998
1999;Rondonia;Outubro;1.884;01/01/1999
2000;Rondonia;Outubro;644;01/01/2000
2001;Rondonia;Outubro;796;01/01/2001
2002;Rondonia;Outubro;3.554;01/01/2002
2003;Rondonia;Outubro;4.962;01/01/2003
2004;Rondonia;Outubro;3.094;01/01/2004
2005;Rondonia;Outubro;2.559;01/01/2005
2006;Rondonia;Outubro;1.148;01/01/2006
2007;Rondonia;Outubro;2.023;01/01/2007
2008;Rondonia;Outubro;1.482;01/01/2008
2009;Rondonia;Outubro;1.444;01/01/2009
2010;Rondonia;Outubro;1.307;01/01/2010
2011;Rondonia;Outubro;822;01/01/2011
2012;Rondonia;Outubro;1.229;01/01/2012
2013;Rondonia;Outubro;555;01/01/2013
2014;Rondonia;Outubro;1.063;01/01/2014
2015;Rondonia;Outubro;2.598;01/01/2015
2016;Rondonia;Outubro;1.844;01/01/2016
2017;Rondonia;Outubro;2.19;01/01/2017
1998;Rondonia;Novembro;3;01/01/1998
1999;Rondonia;Novembro;41;01/01/1999
2000;Rondonia;Novembro;13;01/01/2000
2001;Rondonia;Novembro;91;01/01/2001
2002;Rondonia;Novembro;639;01/01/2002
2003;Rondonia;Novembro;526;01/01/2003
2004;Rondonia;Novembro;452;01/01/2004
2005;Rondonia;Novembro;465;01/01/2005
2006;Rondonia;Novembro;253;01/01/2006
2007;Rondonia;Novembro;53;01/01/2007
2008;Rondonia;Novembro;78;01/01/2008
2009;Rondonia;Novembro;128;01/01/2009
2010;Rondonia;Novembro;238;01/01/2010
2011;Rondonia;Novembro;245;01/01/2011
2012;Rondonia;Novembro;174;01/01/2012
2013;Rondonia;Novembro;108;01/01/2013
2014;Rondonia;Novembro;202;01/01/2014
2015;Rondonia;Novembro;1.002;01/01/2015
2016;Rondonia;Novembro;401;01/01/2016
2017;Rondonia;Novembro;372;01/01/2017
1998;Rondonia;Dezembro;33;01/01/1998
1999;Rondonia;Dezembro;0;01/01/1999
2000;Rondonia;Dezembro;7;01/01/2000
2001;Rondonia;Dezembro;1;01/01/2001
2002;Rondonia;Dezembro;91;01/01/2002
2003;Rondonia;Dezembro;214;01/01/2003
2004;Rondonia;Dezembro;208;01/01/2004
2005;Rondonia;Dezembro;36;01/01/2005
2006;Rondonia;Dezembro;4;01/01/2006
2007;Rondonia;Dezembro;6;01/01/2007
2008;Rondonia;Dezembro;2;01/01/2008
2009;Rondonia;Dezembro;9;01/01/2009
2010;Rondonia;Dezembro;158;01/01/2010
2011;Rondonia;Dezembro;37;01/01/2011
2012;Rondonia;Dezembro;50;01/01/2012
2013;Rondonia;Dezembro;143;01/01/2013
2014;Rondonia;Dezembro;144;01/01/2014
2015;Rondonia;Dezembro;282;01/01/2015
2016;Rondonia;Dezembro;148;01/01/2016
1998;Roraima;Janeiro;0;01/01/1998
1999;Roraima;Janeiro;15;01/01/1999
2000;Roraima;Janeiro;18;01/01/2000
2001;Roraima;Janeiro;101;01/01/2001
2002;Roraima;Janeiro;302;01/01/2002
2003;Roraima;Janeiro;547;01/01/2003
2004;Roraima;Janeiro;355;01/01/2004
2005;Roraima;Janeiro;106;01/01/2005
2006;Roraima;Janeiro;70;01/01/2006
2007;Roraima;Janeiro;194;01/01/2007
2008;Roraima;Janeiro;245;01/01/2008
2009;Roraima;Janeiro;45;01/01/2009
2010;Roraima;Janeiro;351;01/01/2010
2011;Roraima;Janeiro;225;01/01/2011
2012;Roraima;Janeiro;217;01/01/2012
2013;Roraima;Janeiro;397;01/01/2013
2014;Roraima;Janeiro;355;01/01/2014
2015;Roraima;Janeiro;330;01/01/2015
2016;Roraima;Janeiro;1.754;01/01/2016
2017;Roraima;Janeiro;108;01/01/2017
1998;Roraima;Fevereiro;0;01/01/1998
1999;Roraima;Fevereiro;20;01/01/1999
2000;Roraima;Fevereiro;57;01/01/2000
2001;Roraima;Fevereiro;646;01/01/2001
2002;Roraima;Fevereiro;476;01/01/2002
2003;Roraima;Fevereiro;767;01/01/2003
2004;Roraima;Fevereiro;259;01/01/2004
2005;Roraima;Fevereiro;105;01/01/2005
2006;Roraima;Fevereiro;283;01/01/2006
2007;Roraima;Fevereiro;796;01/01/2007
2008;Roraima;Fevereiro;138;01/01/2008
2009;Roraima;Fevereiro;153;01/01/2009
2010;Roraima;Fevereiro;470;01/01/2010
2011;Roraima;Fevereiro;112;01/01/2011
2012;Roraima;Fevereiro;130;01/01/2012
2013;Roraima;Fevereiro;62;01/01/2013
2014;Roraima;Fevereiro;226;01/01/2014
2015;Roraima;Fevereiro;418;01/01/2015
2016;Roraima;Fevereiro;171;01/01/2016
2017;Roraima;Fevereiro;129;01/01/2017
1998;Roraima;Março;0;01/01/1998
1999;Roraima;Março;98;01/01/1999
2000;Roraima;Março;125;01/01/2000
2001;Roraima;Março;1.108;01/01/2001
2002;Roraima;Março;820;01/01/2002
2003;Roraima;Março;1.131;01/01/2003
2004;Roraima;Março;276;01/01/2004
2005;Roraima;Março;244;01/01/2005
2006;Roraima;Março;385;01/01/2006
2007;Roraima;Março;665;01/01/2007
2008;Roraima;Março;422;01/01/2008
2009;Roraima;Março;176;01/01/2009
2010;Roraima;Março;417;01/01/2010
2011;Roraima;Março;91;01/01/2011
2012;Roraima;Março;99;01/01/2012
2013;Roraima;Março;179;01/01/2013
2014;Roraima;Março;494;01/01/2014
2015;Roraima;Março;163;01/01/2015
2016;Roraima;Março;1.081;01/01/2016
2017;Roraima;Março;216;01/01/2017
1998;Roraima;Abril;0;01/01/1998
1999;Roraima;Abril;16;01/01/1999
2000;Roraima;Abril;0;01/01/2000
2001;Roraima;Abril;380;01/01/2001
2002;Roraima;Abril;41;01/01/2002
2003;Roraima;Abril;268;01/01/2003
2004;Roraima;Abril;182;01/01/2004
2005;Roraima;Abril;22;01/01/2005
2006;Roraima;Abril;201;01/01/2006
2007;Roraima;Abril;58;01/01/2007
2008;Roraima;Abril;175;01/01/2008
2009;Roraima;Abril;115;01/01/2009
2010;Roraima;Abril;15;01/01/2010
2011;Roraima;Abril;108;01/01/2011
2012;Roraima;Abril;25;01/01/2012
2013;Roraima;Abril;87;01/01/2013
2014;Roraima;Abril;162;01/01/2014
2015;Roraima;Abril;278;01/01/2015
2016;Roraima;Abril;126;01/01/2016
2017;Roraima;Abril;51;01/01/2017
1998;Roraima;Maio;0;01/01/1998
1999;Roraima;Maio;0;01/01/1999
2000;Roraima;Maio;7;01/01/2000
2001;Roraima;Maio;9;01/01/2001
2002;Roraima;Maio;0;01/01/2002
2003;Roraima;Maio;0;01/01/2003
2004;Roraima;Maio;2;01/01/2004
2005;Roraima;Maio;1;01/01/2005
2006;Roraima;Maio;0;01/01/2006
2007;Roraima;Maio;0;01/01/2007
2008;Roraima;Maio;8;01/01/2008
2009;Roraima;Maio;219;01/01/2009
2010;Roraima;Maio;3;01/01/2010
2011;Roraima;Maio;4;01/01/2011
2012;Roraima;Maio;18;01/01/2012
2013;Roraima;Maio;4;01/01/2013
2014;Roraima;Maio;58;01/01/2014
2015;Roraima;Maio;12;01/01/2015
2016;Roraima;Maio;22;01/01/2016
2017;Roraima;Maio;29;01/01/2017
1998;Roraima;Junho;0;01/01/1998
1999;Roraima;Junho;3;01/01/1999
2000;Roraima;Junho;0;01/01/2000
2001;Roraima;Junho;1;01/01/2001
2002;Roraima;Junho;0;01/01/2002
2003;Roraima;Junho;0;01/01/2003
2004;Roraima;Junho;6;01/01/2004
2005;Roraima;Junho;5;01/01/2005
2006;Roraima;Junho;0;01/01/2006
2007;Roraima;Junho;1;01/01/2007
2008;Roraima;Junho;0;01/01/2008
2009;Roraima;Junho;16;01/01/2009
2010;Roraima;Junho;0;01/01/2010
2011;Roraima;Junho;6;01/01/2011
2012;Roraima;Junho;22;01/01/2012
2013;Roraima;Junho;6;01/01/2013
2014;Roraima;Junho;4;01/01/2014
2015;Roraima;Junho;3;01/01/2015
2016;Roraima;Junho;7;01/01/2016
2017;Roraima;Junho;4;01/01/2017
1998;Roraima;Julho;1;01/01/1998
1999;Roraima;Julho;4;01/01/1999
2000;Roraima;Julho;0;01/01/2000
2001;Roraima;Julho;1;01/01/2001
2002;Roraima;Julho;7;01/01/2002
2003;Roraima;Julho;0;01/01/2003
2004;Roraima;Julho;2;01/01/2004
2005;Roraima;Julho;2;01/01/2005
2006;Roraima;Julho;0;01/01/2006
2007;Roraima;Julho;3;01/01/2007
2008;Roraima;Julho;0;01/01/2008
2009;Roraima;Julho;18;01/01/2009
2010;Roraima;Julho;1;01/01/2010
2011;Roraima;Julho;9;01/01/2011
2012;Roraima;Julho;2;01/01/2012
2013;Roraima;Julho;4;01/01/2013
2014;Roraima;Julho;9;01/01/2014
2015;Roraima;Julho;5;01/01/2015
2016;Roraima;Julho;0;01/01/2016
2017;Roraima;Julho;3;01/01/2017
1998;Roraima;Agosto;0;01/01/1998
1999;Roraima;Agosto;1;01/01/1999
2000;Roraima;Agosto;9;01/01/2000
2001;Roraima;Agosto;4;01/01/2001
2002;Roraima;Agosto;7;01/01/2002
2003;Roraima;Agosto;2;01/01/2003
2004;Roraima;Agosto;18;01/01/2004
2005;Roraima;Agosto;9;01/01/2005
2006;Roraima;Agosto;4;01/01/2006
2007;Roraima;Agosto;2;01/01/2007
2008;Roraima;Agosto;4;01/01/2008
2009;Roraima;Agosto;29;01/01/2009
2010;Roraima;Agosto;3;01/01/2010
2011;Roraima;Agosto;39;01/01/2011
2012;Roraima;Agosto;4;01/01/2012
2013;Roraima;Agosto;3;01/01/2013
2014;Roraima;Agosto;12;01/01/2014
2015;Roraima;Agosto;11;01/01/2015
2016;Roraima;Agosto;11;01/01/2016
2017;Roraima;Agosto;35;01/01/2017
1998;Roraima;Setembro;2;01/01/1998
1999;Roraima;Setembro;3;01/01/1999
2000;Roraima;Setembro;12;01/01/2000
2001;Roraima;Setembro;1;01/01/2001
2002;Roraima;Setembro;48;01/01/2002
2003;Roraima;Setembro;6;01/01/2003
2004;Roraima;Setembro;9;01/01/2004
2005;Roraima;Setembro;72;01/01/2005
2006;Roraima;Setembro;40;01/01/2006
2007;Roraima;Setembro;9;01/01/2007
2008;Roraima;Setembro;17;01/01/2008
2009;Roraima;Setembro;117;01/01/2009
2010;Roraima;Setembro;18;01/01/2010
2011;Roraima;Setembro;53;01/01/2011
2012;Roraima;Setembro;67;01/01/2012
2013;Roraima;Setembro;18;01/01/2013
2014;Roraima;Setembro;67;01/01/2014
2015;Roraima;Setembro;77;01/01/2015
2016;Roraima;Setembro;19;01/01/2016
2017;Roraima;Setembro;43;01/01/2017
